file_name,column_name,missing_percentage,zero_percentage,is_removed,removal_reason
whale_transaction_count_100k_usd_to_inf.csv,1inch_whale_transaction_count_100k_usd_to_inf,0.0,8.367626886145404,False,
whale_transaction_count_100k_usd_to_inf.csv,convex-finance_whale_transaction_count_100k_usd_to_inf,0.0,2.880658436213992,False,
whale_transaction_count_100k_usd_to_inf.csv,0x_whale_transaction_count_100k_usd_to_inf,0.0,23.868312757201647,False,
whale_transaction_count_100k_usd_to_inf.csv,stargate-finance_whale_transaction_count_100k_usd_to_inf,0.0,12.620027434842248,False,
whale_transaction_count_100k_usd_to_inf.csv,yearn-finance_whale_transaction_count_100k_usd_to_inf,0.0,20.5761316872428,False,
whale_transaction_count_100k_usd_to_inf.csv,crvusd_whale_transaction_count_100k_usd_to_inf,0.0,7.270233196159122,False,
whale_transaction_count_100k_usd_to_inf.csv,lcx_whale_transaction_count_100k_usd_to_inf,0.0,59.807956104252405,True,高零值
whale_transaction_count_100k_usd_to_inf.csv,band-protocol_whale_transaction_count_100k_usd_to_inf,0.0,64.60905349794238,True,高零值
whale_transaction_count_100k_usd_to_inf.csv,sushi_whale_transaction_count_100k_usd_to_inf,0.0,14.814814814814813,False,
whale_transaction_count_100k_usd_to_inf.csv,cow-protocol_whale_transaction_count_100k_usd_to_inf,0.0,59.807956104252405,True,高零值
whale_transaction_count_100k_usd_to_inf.csv,loopring_whale_transaction_count_100k_usd_to_inf,0.0,27.983539094650205,False,
whale_transaction_count_100k_usd_to_inf.csv,usual_whale_transaction_count_100k_usd_to_inf,75.85733882030178,2.880658436213992,True,高缺失值
whale_transaction_count_100k_usd_to_inf.csv,clearpool_whale_transaction_count_100k_usd_to_inf,0.0,48.010973936899866,False,
whale_transaction_count_100k_usd_to_inf.csv,uma_whale_transaction_count_100k_usd_to_inf,0.0,36.07681755829904,False,
whale_transaction_count_100k_usd_to_inf.csv,orbs_whale_transaction_count_100k_usd_to_inf,0.0,48.148148148148145,False,
whale_transaction_count_100k_usd_to_inf.csv,api3_whale_transaction_count_100k_usd_to_inf,0.0,20.98765432098765,False,
whale_transaction_count_100k_usd_to_inf.csv,rocket-pool_whale_transaction_count_100k_usd_to_inf,0.0,23.045267489711936,False,
whale_transaction_count_100k_usd_to_inf.csv,compound-ether_whale_transaction_count_100k_usd_to_inf,0.0,92.72976680384087,True,高零值
whale_transaction_count_100k_usd_to_inf.csv,marlin_whale_transaction_count_100k_usd_to_inf,0.0,58.8477366255144,True,高零值
whale_transaction_count_100k_usd_to_inf.csv,tellor_whale_transaction_count_100k_usd_to_inf,0.0,34.01920438957476,False,
whale_transaction_count_100k_usd_to_inf.csv,numeraire_whale_transaction_count_100k_usd_to_inf,0.0,35.25377229080932,False,
whale_transaction_count_100k_usd_to_inf.csv,liquity_whale_transaction_count_100k_usd_to_inf,0.0,24.417009602194785,False,
whale_transaction_count_100k_usd_to_inf.csv,dia-data_whale_transaction_count_100k_usd_to_inf,0.0,63.64883401920439,True,高零值
whale_transaction_count_100k_usd_to_inf.csv,oraichain-token_whale_transaction_count_100k_usd_to_inf,0.0,89.84910836762688,True,高零值
whale_transaction_count_100k_usd_to_inf.csv,magic-internet-money_whale_transaction_count_100k_usd_to_inf,0.0,47.18792866941015,False,
whale_transaction_count_100k_usd_to_inf.csv,pinlink_whale_transaction_count_100k_usd_to_inf,39.64334705075446,46.22770919067216,True,高缺失值
whale_transaction_count_100k_usd_to_inf.csv,coin98_whale_transaction_count_100k_usd_to_inf,0.0,61.45404663923183,True,高零值
whale_transaction_count_100k_usd_to_inf.csv,tokenfi_whale_transaction_count_100k_usd_to_inf,0.0,59.945130315500684,True,高零值
whale_transaction_count_100k_usd_to_inf.csv,dodo_whale_transaction_count_100k_usd_to_inf,0.0,69.68449931412894,True,高零值
whale_transaction_count_100k_usd_to_inf.csv,keep-network_whale_transaction_count_100k_usd_to_inf,0.0,92.04389574759945,True,高零值
whale_transaction_count_100k_usd_to_inf.csv,liquity-usd_whale_transaction_count_100k_usd_to_inf,0.0,12.345679012345679,False,
whale_transaction_count_100k_usd_to_inf.csv,smardex_whale_transaction_count_100k_usd_to_inf,0.0,56.37860082304527,True,高零值
